19-20,DAW,1,Vespertino,PG, Kim ,Snyder,5,(215)-379-4865,kim.snyder96@example.com
19-20,DAW,1,Vespertino,BD, Sandra ,Neal,6,(430)-371-7293,sandra.neal80@example.com
19-20,DAW,1,FPDual,BD, Gordon ,Owens,9,(336)-723-6569,gordon.owens47@example.com
19-20,DAW,1,Ordinario,BD, Lorraine ,Douglas,1,(443)-648-9155,lorraine.douglas35@example.com
19-20,DAW,1,Ordinario,PG, Billy ,Fox,2,(915)-498-5611,billy.fox45@example.com
19-20,DAW,1,Vespertino,BD, Kim ,Snyder,5,(215)-379-4865,kim.snyder96@example.com
19-20,DAW,1,Vespertino,PG, Sandra ,Neal,6,(430)-371-7293,sandra.neal80@example.com
19-20,DAW,1,FPDual,BD, Gordon ,Owens,9,(336)-723-6569,gordon.owens47@example.com
19-20,ASIR,1,Ordinario,FH, Ron ,Gibson,6,(976)-397-4091,ron.gibson76@example.com
19-20,ASIR,1,Ordinario,ISO, Tom ,Ruiz,7,(102)-834-1602,tom.ruiz89@example.com
19-20,ASIR,1,Vespertino,FH, Dwayne ,Newman,10,(614)-177-4937,dwayne.newman28@example.com
19-20,ASIR,1,Vespertino,ISO, Joel ,Willis,1,(683)-556-5104,joel.willis63@example.com
19-20,ASIR,1,FPDual,ISO,María,Arias,4,111111111,odoo@odoo.com
